stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
135,1035,Upland Garden Dr at 36 Upland Garden,,42.221562,-71.803858,,,,,,0
136,1034,Upland Garden Dr at 48 Upland Garden,,42.220564,-71.803618,,,,,,0
137,975,Spofford Rd at Broughton,,42.220691,-71.799922,,,,,,0
138,977,Spofford Rd at Greenwood,,42.221213,-71.797175,,,,,,0
139,346,Greenwood St at Southhold,,42.220479,-71.796823,,,,,,0
140,347,Greenwood St at Conway,,42.219661,-71.796814,,,,,,0
141,348,Greenwood St at Ryberg,,42.218158,-71.796713,,,,,,0
143,349,Greenwood St at 328A Greenwood,,42.215933,-71.79615,,,,,,0
144,350,Greenwood St at Arnold,,42.215138,-71.796006,,,,,,0
145,351,Greenwood St at Fair plaza,,42.213596,-71.795943,,,,,,0
146,352,Greenwood St at Rt 20,,42.212538,-71.795768,,,,,,0
154,1190,BROOKS ST + PULLMAN ST,,42.320851,-71.800213,,,,,,0
155,1191,PULLMAN ST + PRICECHOPPER,,42.323849,-71.79787,,,,,,0
156,763,MOUNTAIN ST WEST + PULLMAN ST,,42.324588,-71.797206,,,,,,0
157,764,MOUNTAIN ST WEST + MALDEN ST,,42.323719,-71.794576,,,,,,0
164,84,BURNCOAT ST + ASSUMPTION AVE,,42.313938,-71.789633,,,,,,0
166,86,BURNCOAT ST + FALES ST,,42.311736,-71.789156,,,,,,0
167,87,BURNCOAT ST + FAIRHAVEN RD,,42.309098,-71.789108,,,,,,0
168,88,BURNCOAT ST + CHATAM VILLAGE RD,,42.307953,-71.789108,,,,,,0
169,89,BURNCOAT ST + DOROTHY AVE,,42.306428,-71.789203,,,,,,0
170,90,BURNCOAT ST + DEVENS RD,,42.305713,-71.78933,,,,,,0
172,93,BURNCOAT ST + MONTEREY RD,,42.30305,-71.789608,,,,,,0
173,94,BURNCOAT ST + THORNDYKE RD,,42.30224,-71.789576,,,,,,0
175,96,BURNCOAT ST + REXAME RD,,42.299911,-71.789498,,,,,,0
176,97,BURNCOAT ST + BURNCOAT HIGH SCHOOL,,42.299061,-71.789608,,,,,,0
177,98,BURNCOAT ST + RANDOLPH RD,,42.296573,-71.78984,,,,,,0
178,99,BURNCOAT ST + CLEARVIEW AVE,,42.295978,-71.789975,,,,,,0
180,101,BURNCOAT ST + FAIRHAVEN,,42.29205,-71.790688,,,,,,0
181,102,BURNCOAT ST + RANKIN ST,,42.288546,-71.790849,,,,,,0
182,103,BURNCOAT ST + 16 BURNCOAT ST,,42.287741,-71.790829,,,,,,0
183,547,Lincoln St at Norton,,42.285678,-71.791118,,,,,,0
184,548,Lincoln St at Harlow,,42.283008,-71.792191,,,,,,0
185,554,Lincoln St at Greenhill,,42.281355,-71.79286,,,,,,0
186,549,Lincoln St and Perkins St,,42.278915,-71.793868,,,,,,0
187,555,Lincoln St at Frederick,,42.277675,-71.794615,,,,,,0
188,550,Lincoln St at Crescent,,42.275918,-71.795783,,,,,,0
