trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1543090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
1638060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
2182020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
2185060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
1953020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
1953060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
20090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
2049020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
2049060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
2060090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,50,shp-5-02,0,0
2027020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
1735020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
1735060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
1638020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
1714060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
1827010,5,2,BROAD MEADOW BROOK >> HUB CENTER,,1,28,shp-5-02,0,0
176020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
1814010,5,2,BROAD MEADOW BROOK >> HUB CENTER,,1,28,shp-5-02,0,0
1826070,5,5,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
1820070,5,5,BROAD MEADOW BROOK >> HUB CENTER,,1,50,shp-5-02,0,0
582060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
510010,5,2,BROAD MEADOW BROOK >> HUB CENTER,,1,28,shp-5-02,0,0
762010,5,2,BROAD MEADOW BROOK >> HUB CENTER,,1,28,shp-5-02,0,0
316060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
386060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
335010,5,2,BROAD MEADOW BROOK >> HUB CENTER,,1,28,shp-5-02,0,0
386020,5,4,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
406070,5,5,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
481090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,50,shp-5-02,0,0
319090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
16090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
1545070,5,5,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
1466090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
