stop_id,latitude,longitude
0_3588,42.235496,-71.756385
0_3103,42.2611099,-71.7998699
0_3587,42.2358549,-71.7613408
0_985,42.30816,-71.7796029
0_3586,42.2360081,-71.7612489
0_986,42.310473,-71.7815031
0_987,42.3093929,-71.7807
0_988,42.3083111,-71.779881
0_989,42.3068499,-71.7787761
0_1182,42.2608199,-71.80386
0_1181,42.2516649,-71.7822127
0_1180,42.245281,-71.7589402
0_990,42.3056729,-71.7778949
0_991,42.3044099,-71.7769482
0_992,42.3032811,-71.775303
0_751,42.3150799,-71.7728598
0_993,42.2434199,-71.8381901
0_994,42.2420401,-71.8401299
0_1179,42.2393679,-71.7531859
0_995,42.2408867,-71.8416037
0_996,42.2405669,-71.8420725
0_997,42.2389501,-71.84472
0_999,42.2374199,-71.8472501
0_516,42.272263,-71.7985101
0_518,42.2737101,-71.7975309
0_519,42.2764429,-71.795323
0_1198,42.31791,-71.7755601
0_1197,42.3152184,-71.7728519
0_1196,42.30647,-71.7723999
0_1195,42.3043499,-71.7672799
0_520,42.2776829,-71.7945052
0_521,42.279368,-71.7935581
0_522,42.281568,-71.7926529
0_523,42.2831179,-71.7920479
0_525,42.2860659,-71.7907931
0_526,42.2874809,-71.7891799
0_527,42.2884199,-71.7878129
0_528,42.289381,-71.786421
0_529,42.291328,-71.7821778
0_7501,42.2558158,-71.9546219
0_530,42.2920829,-71.7802059
0_531,42.2929501,-71.7783002
0_532,42.2939987,-71.7758379
0_533,42.29525,-71.77271
0_534,42.29582,-71.7709002
0_535,42.2964701,-71.7694199
0_536,42.2975299,-71.7675401
0_537,42.2975601,-71.7677899
0_538,42.2967199,-71.7691199
0_539,42.2953999,-71.7726201
0_7510,42.240211,-71.8806451
0_540,42.2946199,-71.77503
0_541,42.2931115,-71.7781982
0_300,42.250526,-71.7735549
0_542,42.2922411,-71.7801112
0_301,42.2502249,-71.7753109
0_543,42.291606,-71.781955
0_302,42.2510509,-71.778561
0_544,42.2893249,-71.7867401
0_303,42.2510064,-71.779714
0_304,42.2560199,-71.7856801
0_546,42.287553,-71.7892829
0_305,42.2562016,-71.7876305
0_547,42.2856781,-71.7911179
0_548,42.2830079,-71.7921909
0_549,42.2789149,-71.7938681
0_309,42.236818,-71.751811
0_550,42.2759181,-71.7957832
0_551,42.273986,-71.7975649
0_310,42.2378029,-71.7524859
0_311,42.2436051,-71.7563012
0_553,42.2718961,-71.798835
0_554,42.2813549,-71.7928601
0_555,42.277675,-71.794615
0_315,42.2506046,-71.764928
0_316,42.252688,-71.7826061
0_317,42.250893,-71.772395
0_318,42.2509613,-71.7771044
0_319,42.2564699,-71.7892399
0_7515,42.2454775,-71.8994491
0_7530,42.249797,-71.9368286
0_566,42.2698149,-71.798581
0_567,42.270951,-71.7985899
0_569,42.270848,-71.7989061
0_7540,42.2454924,-71.9134185
0_570,42.2698001,-71.798883
0_576,42.2447084,-71.8355164
0_577,42.2442542,-71.8373978
0_578,42.2438601,-71.8388799
0_579,42.2430599,-71.8411901
0_7550,42.2454761,-71.8991672
0_7555,42.2404008,-71.8799401
0_580,42.24279,-71.8426201
0_581,42.2426351,-71.8443179
0_582,42.2423326,-71.8454033
0_584,42.2417566,-71.848313
0_585,42.2413631,-71.849921
0_586,42.2410209,-71.8520258
0_588,42.2403861,-71.854911
0_589,42.2398459,-71.8563098
0_7560,42.2422885,-71.8675216
0_590,42.240441,-71.859998
0_592,42.240783,-71.8635899
0_596,42.2580701,-71.8076199
0_597,42.25677,-71.8100799
0_599,42.2556501,-71.8122499
0_387,42.2558332,-71.7839508
0_388,42.25593,-71.7819799
0_389,42.2559799,-71.78052
0_46,42.2996484,-71.7655698
0_47,42.29947,-71.7659901
0_391,42.2560257,-71.7788609
0_393,42.2561999,-71.7760202
0_394,42.2562971,-71.7743067
0_395,42.256328,-71.7728172
0_397,42.2571107,-71.7697556
0_398,42.2572739,-71.769217
0_6055,42.2181701,-71.84543
0_6050,42.22323,-71.8471899
0_8005,42.2564801,-71.959196
0_181,42.311498,-71.7800161
0_182,42.3121601,-71.7751701
0_184,42.3120199,-71.7757001
0_6060,42.2147,-71.8460399
0_185,42.3115299,-71.779755
0_8015,42.2443065,-71.992248
0_6070,42.21362,-71.8425198
0_194,42.2950799,-71.7746361
0_195,42.2961449,-71.774826
0_8010,42.251114,-71.9779212
0_196,42.297566,-71.7750249
0_197,42.2992909,-71.7762579
0_198,42.2999351,-71.7767898
0_199,42.301835,-71.7763051
