stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
11,1136,42.250961,-71.777104,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:39:12,05:39:12
12,1137,42.251051,-71.778561,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.421053,0.000000,8.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:39:36,05:39:36
13,1138,42.251006,-71.779714,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:39:54,05:39:54
14,584,42.25173,-71.78204,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.210526,0.000000,4.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:40:37,05:40:37
15,1139,42.252688,-71.782606,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:40:59,05:40:59
16,1140,42.254396,-71.78364,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:41:27,05:41:27
17,1141,42.255231,-71.784633,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:41:46,05:41:46
18,342,42.25602,-71.78568,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.631579,0.000000,12.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:43:00,05:43:00
19,343,42.256202,-71.78763,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,1.368421,0.000000,26.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:43:37,05:43:37
20,344,42.25647,-71.78924,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,1.263158,0.000000,24.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:44:31,05:44:31
21,345,42.25728,-71.79106,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,2,19,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:45:22,05:45:22
22,21,42.25971,-71.79366,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.105263,0.000000,2.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:47:10,05:47:10
23,1612,42.26021,-71.79519,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,0.684211,0.000000,13.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:48:15,05:48:15
24,1503,42.260898,-71.796662,Blue,inbound,1,AM Early,04:00:00,05:59:59,5,ok,1,19,0.000000,3.210526,0.000000,61.000000,insufficient_daily_arrivals,22,22,1.000000,0,,,,05:50:00,05:50:00
