stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
12,1151,42.250874,-71.77743,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.127841,0.099432,45.000000,35.000000,ok,31,358,11.548387,327,28.379205,287.419996,19.253522,09:10:12,14:33:48
13,1152,42.250133,-71.77544,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.022727,0.093750,8.000000,33.000000,ok,31,358,11.548387,327,28.379205,287.094308,19.247783,09:10:48,14:34:20
14,1153,42.25044,-71.773523,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.088068,0.048295,31.000000,17.000000,ok,31,358,11.548387,327,28.379205,286.804950,19.242685,09:11:23,14:34:50
15,1154,42.250741,-71.771998,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.048295,0.099432,17.000000,35.000000,ok,31,358,11.548387,327,28.379205,286.605011,19.239163,09:11:51,14:35:15
16,1155,42.250504,-71.768891,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.039773,0.309659,14.000000,109.000000,ok,31,358,11.548387,327,28.379205,286.292004,19.233648,09:12:42,14:35:59
17,1156,42.250676,-71.767042,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.028409,0.164773,10.000000,58.000000,ok,31,363,11.709677,332,28.349398,281.903403,19.146646,09:00:02,14:36:26
18,1158,42.250521,-71.765038,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.000000,0.088068,0.000000,31.000000,ok,31,363,11.709677,332,28.349398,281.775532,19.144390,09:00:32,14:36:56
19,1159,42.248697,-71.762426,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.017045,1.079545,6.000000,380.000000,ok,31,363,11.709677,332,28.342871,281.656271,19.140168,09:01:38,14:37:36
20,1160,42.247703,-71.761411,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.022727,1.031250,8.000000,363.000000,ok,31,363,11.709677,332,28.343373,281.611010,19.139532,09:02:00,14:38:00
21,1161,42.246171,-71.759886,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.079545,0.843750,28.000000,297.000000,ok,31,363,11.709677,332,28.346386,281.563852,19.139679,09:02:21,14:38:33
22,1162,42.244161,-71.757318,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.011364,0.286932,4.000000,101.000000,ok,31,363,11.709677,332,28.348143,281.612322,19.141104,09:03:00,14:39:19
23,1163,42.243588,-71.756413,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.002841,0.034091,1.000000,12.000000,ok,31,363,11.709677,332,28.349649,281.630951,19.141922,09:03:09,14:39:34
24,1164,42.241316,-71.754196,Blue,outbound,0,Midday,09:00:00,14:59:59,5;12,ok,3,352,0.028409,0.934659,10.000000,329.000000,ok,31,363,11.709677,332,28.355171,281.837718,19.147362,09:03:35,14:40:22
25,1855,42.247021,-71.758556,Blue,outbound,0,Midday,09:00:00,14:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
