stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
14,1153,42.25044,-71.773523,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.013072,0.019608,2.000000,3.000000,ok,27,164,6.074074,137,27.972263,669.246477,25.948812,06:11:23,08:58:08
15,1154,42.250741,-71.771998,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.000000,0.013072,0.000000,2.000000,ok,27,164,6.074074,137,27.989173,669.919577,25.962064,06:11:51,08:58:37
16,1155,42.250504,-71.768891,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.000000,0.209150,0.000000,32.000000,ok,27,164,6.074074,137,28.023358,671.012293,25.984054,06:12:42,08:59:33
17,1156,42.250676,-71.767042,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.006536,0.032680,1.000000,5.000000,ok,27,159,5.888889,132,27.828409,695.991017,26.419250,06:13:12,08:38:59
18,1158,42.250521,-71.765038,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.013072,0.058824,2.000000,9.000000,ok,27,159,5.888889,132,27.845581,696.837318,26.435320,06:13:47,08:39:37
19,1159,42.248697,-71.762426,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.013072,0.535948,2.000000,82.000000,ok,27,159,5.888889,132,27.873485,697.737176,26.452888,06:14:33,08:40:30
20,1160,42.247703,-71.761411,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.006536,0.241830,1.000000,37.000000,ok,27,159,5.888889,132,27.886364,698.524966,26.467672,06:15:00,08:41:00
21,1161,42.246171,-71.759886,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.019608,0.699346,3.000000,107.000000,ok,27,159,5.888889,132,27.864899,697.897783,26.455333,06:15:33,08:41:23
22,1162,42.244161,-71.757318,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.000000,0.241830,0.000000,37.000000,ok,27,159,5.888889,132,27.834848,696.880490,26.435554,06:16:19,08:41:55
23,1163,42.243588,-71.756413,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.006536,0.026144,1.000000,4.000000,ok,27,159,5.888889,132,27.826263,696.687997,26.431665,06:16:34,08:42:06
24,1164,42.241316,-71.754196,Blue,outbound,0,AM Peak,06:00:00,08:59:59,5;12,ok,3,153,0.032680,0.660131,5.000000,101.000000,ok,27,159,5.888889,132,27.794066,695.964904,26.417060,06:17:22,08:42:39
25,1855,42.247021,-71.758556,Blue,outbound,0,AM Peak,06:00:00,08:59:59,,no_matching_ridership_record,0,0,,,0.000000,0.000000,no_service,0,0,,0,,,,,
