stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
11,1150,42.250853,-71.779603,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.156716,0.395522,21.000000,53.000000,ok,27,147,5.444444,120,26.254861,614.519131,24.830390,18:09:40,20:44:40
12,1151,42.250874,-71.77743,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.007463,0.201493,1.000000,27.000000,ok,27,147,5.444444,120,26.239861,613.248089,24.805360,18:10:12,20:45:12
13,1152,42.250133,-71.77544,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.007463,0.149254,1.000000,20.000000,ok,27,147,5.444444,120,26.221111,611.922040,24.779055,18:10:48,20:45:48
14,1153,42.25044,-71.773523,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.014925,0.231343,2.000000,31.000000,ok,27,147,5.444444,120,26.204722,610.173635,24.744798,18:11:23,20:46:23
15,1154,42.250741,-71.771998,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.000000,0.014925,0.000000,2.000000,ok,27,147,5.444444,120,26.189722,609.183297,24.725059,18:11:51,20:46:51
16,1155,42.250504,-71.768891,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.029851,0.186567,4.000000,25.000000,ok,27,147,5.444444,120,26.165833,606.858786,24.679314,18:12:42,20:47:42
17,1156,42.250676,-71.767042,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.007463,0.097015,1.000000,13.000000,ok,27,147,5.444444,120,26.150833,605.893208,24.660004,18:13:12,20:48:12
18,1158,42.250521,-71.765038,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.000000,0.111940,0.000000,15.000000,ok,27,147,5.444444,120,26.137500,604.143774,24.625781,18:13:47,20:48:47
19,1159,42.248697,-71.762426,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.000000,0.313433,0.000000,42.000000,ok,27,147,5.444444,120,26.111944,602.449126,24.591864,18:14:33,20:49:33
20,1160,42.247703,-71.761411,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,129,0.007752,0.263566,1.000000,34.000000,ok,27,142,5.259259,115,22.069565,237.734291,16.420804,18:15:00,20:50:00
21,1161,42.246171,-71.759886,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,134,0.007463,0.283582,1.000000,38.000000,ok,27,147,5.444444,120,26.076111,604.532300,24.629744,18:15:33,20:50:17
22,1162,42.244161,-71.757318,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,129,0.000000,0.178295,0.000000,23.000000,ok,27,142,5.259259,115,22.024928,247.717098,16.636026,18:16:19,20:50:41
23,1163,42.243588,-71.756413,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,129,0.000000,0.007752,0.000000,1.000000,ok,27,142,5.259259,115,22.015362,249.637803,16.677309,18:16:34,20:50:49
24,1164,42.241316,-71.754196,Blue,outbound,0,PM Late,18:00:00,21:59:59,5;12,ok,3,129,0.015504,0.155039,2.000000,20.000000,ok,27,164,6.074074,137,25.577129,316.714246,18.979921,18:00:22,20:51:14
25,1855,42.247021,-71.758556,Blue,outbound,0,PM Late,18:00:00,21:59:59,5,ok,1,5,0.000000,1.200000,0.000000,6.000000,insufficient_daily_arrivals,5,5,1.000000,0,,,,20:15:00,20:15:00
