stop_order,stop_id,latitude,longitude,corridor,direction,gtfs_direction_id,time_period,time_period_start,time_period_end,routes,ridership_calculation_status,ridership_record_count,ridership_trip_count,average_boardings,average_disembarkings,total_boardings,total_disembarkings,calculation_status,operating_day_count,total_arrivals,mean_arrivals_per_operating_day,headway_observation_count,mean_headway_minutes,headway_variance_minutes_squared,expected_wait_minutes,first_arrival_time,last_arrival_time
16,1155,42.250504,-71.768891,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.088608,0.284810,14.000000,45.000000,ok,31,193,6.225806,162,27.109671,285.613487,18.822577,15:08:25,17:55:59
17,1156,42.250676,-71.767042,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.050633,0.246835,8.000000,39.000000,ok,31,193,6.225806,162,27.094239,287.203211,18.847198,15:08:59,17:56:26
18,1158,42.250521,-71.765038,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.000000,0.056962,0.000000,9.000000,ok,31,193,6.225806,162,27.075617,289.006002,18.874825,15:09:37,17:56:56
19,1159,42.248697,-71.762426,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.025316,1.025316,4.000000,162.000000,ok,31,193,6.225806,162,27.046399,291.967725,18.920734,15:10:30,17:57:36
20,1160,42.247703,-71.761411,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,154,0.032468,0.649351,5.000000,100.000000,ok,31,189,6.096774,158,26.164557,270.264060,18.246976,15:11:00,17:58:00
21,1161,42.246171,-71.759886,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,158,0.069620,0.626582,11.000000,99.000000,ok,31,193,6.225806,162,27.055144,291.280094,18.910654,15:11:23,17:58:33
22,1162,42.244161,-71.757318,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,154,0.038961,0.227273,6.000000,35.000000,ok,31,189,6.096774,158,26.220253,265.355539,18.170252,15:11:55,17:59:19
23,1163,42.243588,-71.756413,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,154,0.019481,0.045455,3.000000,7.000000,ok,31,189,6.096774,158,26.229536,264.565204,18.158037,15:12:06,17:59:34
24,1164,42.241316,-71.754196,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5;12,ok,3,154,0.038961,0.649351,6.000000,100.000000,ok,31,167,5.387097,136,28.786765,223.505221,18.275465,15:12:39,17:57:39
25,1855,42.247021,-71.758556,Blue,outbound,0,PM Peak,15:00:00,17:59:59,5,ok,1,4,0.000000,0.000000,0.000000,0.000000,insufficient_daily_arrivals,4,4,1.000000,0,,,,17:19:00,17:19:00
