route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
33,0_4,0_4329237,Central Hub,1,8,L33P68
31,0_5,0_5329204,Central Hub,1,33,L31P38
5,0_2,0_2329290,Central Hub,1,5,L5P43
31,0_5,0_5329207,Central Hub,1,28,L31P38
6,0_1,0_1329323,Central Hub,1,39,L6P26
5,0_3,0_3329269,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_4,0_4329236,Central Hub,1,50,L33P68
5,0_2,0_2329289,Central Hub,1,5,L5P43
6,0_1,0_1329326,Central Hub,1,39,L6P26
4,0_3,0_3329256,Central Hub,1,4,L4P53
33,0_4,0_4329227,Central Hub,1,200,L33P67
31,0_5,0_5329194,Lincoln Plaza,0,28,L31P36
5,0_2,0_2329288,Central Hub,1,5,L5P43
6,0_1,0_1329321,Central Hub,1,39,L6P26
4,0_3,0_3329259,Central Hub,1,4,L4P53
33,0_4,0_4329226,Leicester Via Main St. Webster Sq.,0,50,L33P58
31,0_5,0_5329205,Central Hub,1,28,L31P38
5,0_2,0_2329303,Broad Meadow Brook Audobon Center,0,5,L5P45
31,0_5,0_5329200,Central Hub,1,33,L31P38
6,0_1,0_1329332,Central Hub,1,33,L6P26
5,0_3,0_3329270,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_4,0_4329233,Central Hub,1,27,L33P68
5,0_2,0_2329302,Broad Meadow Brook Audobon Center,0,5,L5P45
6,0_1,0_1329335,West Tatnuck via Chandler St.,0,39,L6P24
4,0_3,0_3329265,Central Hub,1,4,L4P53
33,0_4,0_4329232,Central Hub,1,27,L33P68
31,0_5,0_5329203,Central Hub,1,28,L31P38
5,0_2,0_2329301,Broad Meadow Brook Audobon Center,0,5,L5P45
6,0_1,0_1329322,Central Hub,1,39,L6P26
5,0_3,0_3329268,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_4,0_4329239,Leicester Via Main St. Webster Sq.,0,27,L33P57
31,0_5,0_5329206,Central Hub,1,33,L31P38
5,0_2,0_2329300,Broad Meadow Brook Audobon Center,0,5,L5P45
6,0_1,0_1329333,Central Hub,1,33,L6P26
5,0_3,0_3329271,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_4,0_4329238,Central Hub,1,50,L33P69
31,0_5,0_5329201,Central Hub,1,28,L31P38
6,0_1,0_1329328,Central Hub,1,39,L6P26
5,0_2,0_2329299,Central Hub,1,5,L5P43
5,0_3,0_3329266,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329245,Shoppes at Blackstone Valley,0,4,L4P51
31,0_5,0_5329212,Central Hub,1,28,L31P38
33,0_5,0_5329215,Leicester – Spencer – Brookfield,0,200,L33P56
6,0_1,0_1329331,Central Hub,1,33,L6P26
5,0_2,0_2329298,Central Hub,1,5,L5P43
5,0_3,0_3329277,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329244,Millbury Center,0,4,L4P52
6,0_1,0_1329334,Central Hub,1,33,L6P26
5,0_2,0_2329297,Central Hub,1,5,L5P43
4,0_3,0_3329264,Central Hub,1,4,L4P53
33,0_4,0_4329235,Central Hub,1,8,L33P68
31,0_5,0_5329202,Central Hub,1,33,L31P38
6,0_1,0_1329329,Central Hub,1,39,L6P26
5,0_2,0_2329296,Central Hub,1,5,L5P43
5,0_3,0_3329267,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_4,0_4329234,Central Hub,1,50,L33P68
31,0_5,0_5329213,Central Hub,1,33,L31P38
31,0_5,0_5329208,Central Hub,1,33,L31P38
6,0_1,0_1329340,Central Hub,1,33,L6P26
6,0_2,0_2329311,West Tatnuck via Chandler St.,0,39,L6P24
5,0_3,0_3329278,Central Hub,1,5,L5P43
4,0_4,0_4329241,Shoppes at Blackstone Valley,0,4,L4P51
7,0_1,0_1329343,Washington Heights,0,15,L7P43
6,0_2,0_2329310,West Tatnuck via Chandler St.,0,39,L6P24
5,0_3,0_3329273,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_4,0_4329240,Central Hub,1,27,L33P68
31,0_5,0_5329211,Central Hub,1,28,L31P38
6,0_1,0_1329330,Central Hub,1,39,L6P26
6,0_2,0_2329309,West Tatnuck via Chandler St.,0,39,L6P24
5,0_3,0_3329276,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329247,Shoppes at Blackstone Valley,0,4,L4P51
31,0_5,0_5329214,Central Hub,1,28,L31P38
6,0_2,0_2329308,West Tatnuck via Chandler St.,0,39,L6P24
6,0_1,0_1329341,West Tatnuck via Chandler St.,0,33,L6P24
5,0_3,0_3329279,Central Hub,1,5,L5P43
4,0_4,0_4329246,Shoppes at Blackstone Valley,0,4,L4P51
31,0_5,0_5329209,Central Hub,1,28,L31P38
6,0_2,0_2329339,Central Hub,1,39,L6P26
7,0_1,0_1329368,Washington Heights,0,15,L7P43
5,0_3,0_3329306,Central Hub,1,5,L5P43
5,0_4,0_4329285,Central Hub,1,5,L5P43
4,0_5,0_5329252,Shoppes at Blackstone Valley,0,4,L4P51
6,0_2,0_2329338,West Tatnuck via Chandler St.,0,33,L6P24
4,0_5,0_5329255,Central Hub,1,4,L4P53
7,0_1,0_1329371,Central Hub,1,7,L7P41
6,0_3,0_3329317,West Tatnuck via Chandler St.,0,33,L6P24
5,0_4,0_4329284,Central Hub,1,5,L5P43
6,0_2,0_2329337,West Tatnuck via Chandler St.,0,39,L6P24
7,0_1,0_1329374,Central Hub,1,15,L7P42
5,0_3,0_3329304,Broad Meadow Brook Audobon Center,0,5,L5P45
5,0_4,0_4329275,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329242,Shoppes at Blackstone Valley,0,4,L4P51
6,0_2,0_2329336,West Tatnuck via Chandler St.,0,39,L6P24
7,0_1,0_1329369,Central Hub,1,7,L7P42
5,0_3,0_3329307,Central Hub,1,5,L5P43
5,0_4,0_4329274,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329253,Shoppes at Blackstone Valley,0,4,L4P51
7,0_2,0_2329351,Washington Heights,0,15,L7P43
4,0_5,0_5329248,Shoppes at Blackstone Valley,0,4,L4P51
7,0_1,0_1329380,Central Hub,1,15,L7P42
6,0_3,0_3329318,West Tatnuck via Chandler St.,0,33,L6P24
5,0_4,0_4329281,Central Hub,1,5,L5P43
7,0_2,0_2329350,Washington Heights,0,7,L7P43
7,0_1,0_1329383,Central Hub,1,7,L7P41
6,0_3,0_3329313,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329280,Central Hub,1,5,L5P43
4,0_5,0_5329251,Shoppes at Blackstone Valley,0,4,L4P51
7,0_2,0_2329349,Washington Heights,0,15,L7P43
7,0_1,0_1329370,Central Hub,1,15,L7P42
6,0_3,0_3329316,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329287,Central Hub,1,5,L5P43
4,0_5,0_5329254,Central Hub,1,4,L4P53
7,0_1,0_1329381,Central Hub,1,7,L7P41
7,0_2,0_2329348,Washington Heights,0,7,L7P43
6,0_3,0_3329319,West Tatnuck via Chandler St.,0,33,L6P24
5,0_4,0_4329286,Central Hub,1,5,L5P43
4,0_5,0_5329249,Shoppes at Blackstone Valley,0,4,L4P51
7,0_2,0_2329347,Washington Heights,0,15,L7P43
7,0_1,0_1329376,Central Hub,1,15,L7P42
6,0_3,0_3329314,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329293,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329260,Central Hub,1,4,L4P53
7,0_2,0_2329346,Washington Heights,0,7,L7P44
4,0_5,0_5329263,Central Hub,1,4,L4P53
7,0_1,0_1329379,Central Hub,1,7,L7P41
6,0_3,0_3329325,Central Hub,1,39,L6P26
5,0_4,0_4329292,Broad Meadow Brook Audobon Center,0,5,L5P45
7,0_2,0_2329345,Washington Heights,0,15,L7P44
7,0_1,0_1329382,Central Hub,1,15,L7P42
6,0_3,0_3329312,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329283,Central Hub,1,5,L5P43
4,0_5,0_5329250,Shoppes at Blackstone Valley,0,4,L4P51
7,0_2,0_2329344,Washington Heights,0,7,L7P43
7,0_1,0_1329377,Central Hub,1,7,L7P41
6,0_3,0_3329315,West Tatnuck via Chandler St.,0,39,L6P24
5,0_4,0_4329282,Central Hub,1,5,L5P43
4,0_5,0_5329261,Central Hub,1,4,L4P53
7,0_2,0_2329359,Washington Heights,0,15,L7P43
4,0_5,0_5329256,Central Hub,1,4,L4P53
7,0_1,0_1329388,Central Hub,1,15,L7P42
6,0_3,0_3329326,Central Hub,1,39,L6P26
5,0_4,0_4329289,Central Hub,1,5,L5P43
7,0_2,0_2329358,Washington Heights,0,7,L7P44
7,0_1,0_1329391,Central Hub,1,7,L7P41
6,0_3,0_3329321,Central Hub,1,39,L6P26
5,0_4,0_4329288,Central Hub,1,5,L5P43
4,0_5,0_5329259,Central Hub,1,4,L4P53
