stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_7520,7520,Leicester Center,Comment,42.2455905,-71.9075209,,0,1_LeiCtr,,3
0_7525,7525,Cumberland Farms,,42.2455653,-71.932371,,0,1_7525,,3
0_7545,7545,Leicester Center,Comment,42.2460113,-71.9090238,,0,1_LeiCtr,,3
0_7535,7535,Cumberland Farms,,42.2454251,-71.93223,,0,1_7535,,3
0_115,115,32 Canterbury St,,42.2500115,-71.8126499,,0,1_115,,3
0_6000,6000,Entering Auburn,,42.230183,-71.8198374,,0,1_6000,,3
0_125,125,47 Canterbury St,,42.24933,-71.8134999,,0,1_125,,3
0_8000,8000,Entering Spencer,,42.2560101,-71.954945,,0,1_8000,,3
0_8001,8001,Entering Spencer,,42.2314929,-72.027955,,0,1_8001,,3
0_9106,9106,Nicholas College,Comment,42.04463,-71.9303101,,0,1_NicCol,,3
0_8025,8025,Big Y Plaza,,42.2347909,-72.0117429,,0,1_8025,,3
0_8020,8020,Spencer Center,Comment,42.2439347,-71.9952799,,0,1_SpcrCt,,3
0_9109,9109,Nicholas College,Comment,42.04466,-71.9304599,,0,1_NicCol,,3
0_6090,6090,Auburn Mall,Comment,42.2023225,-71.8364231,,0,1_AMall,,3
0_8030,8030,Spencer DPW,Comment,42.2378636,-72.0096113,,0,1_SpDPW,,3
0_8040,8040,Spencer Center,Comment,42.2438724,-71.9945366,,0,1_SpcrCt,,3
0_8055,8055,Fallon Medical,,42.2564336,-71.959018,,0,1_8055,,3
0_8060,8060,Big Y Plaza,,42.2328359,-72.0137758,,0,1_8060,,3
0_8065,8065,Big Y Plaza,,42.2330712,-72.01353,,0,1_8065,,3
0_3611,3611,666 Park Ave,,42.2453199,-71.8357599,,0,1_3611,,3
0_3626,3626,Big Bunny Plaza Southbridge,Comment,42.0823879,-72.0473459,,0,1_BigBun,,3
0_3620,3620,Cambridge St + Exeter,,42.24355,-71.8250499,,0,1_3620,,3
0_1209,1209,Goddard at Lower Parsons Hill,,42.2434301,-71.8561661,,0,1_1209,,3
0_9004,9004,Market Basket,Comment,42.2465938,-71.7255806,,0,1_MarkBt,,3
0_2026,2026,Cross Street,Comment,42.1094385,-71.6597836,,0,1_CroSt,,3
0_3130,3130,Central Hub,Comment,42.2608983,-71.7966625,,0,1_Hub,,3
0_3640,3640,Harding St + Endicott St,,42.2507135,-71.8006762,,0,1_3640,,3
0_1217,1217,Southbridge St at 982,,42.232955,-71.81841,,0,1_1217,,3
0_3638,3638,Sunderland Rd OPP Danvers,,42.2415424,-71.7525089,,0,1_SundOP,,3
0_3639,3639,Foster St + Norwich St,,42.2645901,-71.8004601,,0,1_3639,,3
0_1027,1027,Tacoma St at Cho,,42.3066261,-71.7735231,,0,1_1027,,3
0_1213,1213,Green Hill Towers,Comment,42.277086,-71.7883049,,0,1_GHTwrs,,3
0_1212,1212,Goddard Dr at 156,,42.2576,-71.8660609,,0,1_1212,,3
0_1210,1210,Goddard at Lower Parsons Hill,,42.2436531,-71.856096,,0,1_1210,,3
0_3630,3630,Main(Southbridge) + South St,,42.0777574,-72.0385474,,0,1_3630,,3
0_3633,3633,Sunderland Rd + Danvers St,,42.2413831,-71.7528905,,0,1_Sunder,,3
0_3634,3634,Sunderland Rd OPP Atlas St,,42.24111,-71.75083,,0,1_3634,,3
0_3635,3635,Sunderland + Southwest Plaza,,42.2408612,-71.7488237,,0,1_3635,,3
0_1219,1219,Southbridge St + Old DMV,,42.2594999,-71.8036699,,0,1_1219,,3
0_3636,3636,Sunderland Rd + Lake Ave,,42.24103,-71.7487199,,0,1_3636,,3
0_3637,3637,Sunderland Rd + Atlas St,,42.24119,-71.7505398,,0,1_3637,,3
0_1230,1230,Southbridge St at Hope Ave,,42.2310299,-71.8193311,,0,1_1230,,3
0_1228,1228,Southbridge St at Hope Ave,,42.2309931,-71.8192449,,0,1_1228,,3
0_1,1,Bailey St + Asabet Ln,,42.279702,-71.876512,,0,1_1,,3
0_1227,1227,Mountain St East + Biar Ln,,42.3177701,-71.77575,,0,1_1227,,3
0_1226,1226,Mountain East + Quinapoxet Ln,,42.3203585,-71.784932,,0,1_1226,,3
0_2,2,Bailey St + Airport Rd,,42.2801401,-71.8744,,0,1_2,,3
0_1225,1225,Tacoma St + New Vista Ln,,42.30634,-71.7723499,,0,1_1225,,3
0_3,3,Belmont St at 290 ramp west,,42.2715801,-71.7962528,,0,1_3,,3
0_1224,1224,Tacoma St + Chino Ave,,42.3065599,-71.7734699,,0,1_1224,,3
0_4,4,Belmont St at 290 ramp east,,42.271921,-71.7936528,,0,1_4,,3
0_1223,1223,Tacoma St + Constitution Ave,,42.3075699,-71.77507,,0,1_1223,,3
0_5,5,UMASS Memorial Hospital,Comment,42.2720949,-71.7918555,,0,1_UMMem,,3
0_6,6,Belmont St at Elizabeth,,42.272216,-71.7906705,,0,1_6,,3
0_7,7,Belmont St at Eastern,,42.272358,-71.789728,,0,1_7,,3
0_8,8,Belmont St at Merrifield,,42.2724094,-71.7889261,,0,1_8,,3
0_3642,3642,Harding St + Lafayette St,,42.252888,-71.7995159,,0,1_3642,,3
0_9,9,Belmont St at Everard,,42.2726197,-71.7870173,,0,1_9,,3
0_3643,3643,Ashmont Ave + Harding St,,42.2483868,-71.8017055,,0,1_3643,,3
0_3644,3644,Millbury St + Ashmont Ave,,42.2484801,-71.80127,,0,1_3644,,3
