origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all
388;823,18:00 - 22:00,Green,865,2715,1785,253,0.241620,0.153969
1386;95,18:00 - 22:00,Green,29,782,627,130,0.035758,0.018495
415;448,22:00 - 00:00,Orange,4,126,135,42,0.030769,0.013029
408;455,22:00 - 00:00,Orange,6,118,122,39,0.048387,0.021053
412;451,22:00 - 00:00,Orange,6,126,171,78,0.045455,0.015748
416;447,22:00 - 00:00,Orange,4,116,209,124,0.033333,0.008830
410;452,22:00 - 00:00,Orange,3,115,163,75,0.025424,0.008427
414;449,22:00 - 00:00,Orange,1,99,126,66,0.010000,0.003425
407;456,22:00 - 00:00,Orange,1,52,123,59,0.018868,0.004255
413;450,22:00 - 00:00,Orange,3,122,278,179,0.024000,0.005155
419;444;420,22:00 - 00:00,Orange,11,240,314,122,0.043825,0.016012
417;445,22:00 - 00:00,Orange,8,113,227,138,0.066116,0.016461
405;457,22:00 - 00:00,Orange,12,201,134,4,0.056338,0.034188
404;459,22:00 - 00:00,Orange,0,263,321,101,0.000000,0.000000
421;442,22:00 - 00:00,Orange,12,398,429,131,0.029268,0.012371
196;24;1508,22:00 - 00:00,Orange,25,320,218,52,0.072464,0.040650
409;453,22:00 - 00:00,Orange,4,124,195,102,0.031250,0.009412
1503,22:00 - 00:00,all,388,417,335,57,0.481988,0.324144
1125;1163;1162,22:00 - 00:00,Blue,0,59,17,6,0.000000,0.000000
1134;1153,22:00 - 00:00,Blue,0,25,46,19,0.000000,0.000000
21;28;1612,22:00 - 00:00,Blue,0,407,466,162,0.000000,0.000000
1131;1158,22:00 - 00:00,Blue,0,52,65,22,0.000000,0.000000
1135;1152,22:00 - 00:00,Blue,0,60,47,8,0.000000,0.000000
584;604,22:00 - 00:00,Blue,0,110,137,71,0.000000,0.000000
1139;1149,22:00 - 00:00,Blue,0,120,84,11,0.000000,0.000000
1138;1150;1137,22:00 - 00:00,Blue,0,131,97,6,0.000000,0.000000
1124;1164,22:00 - 00:00,Blue,0,93,172,81,0.000000,0.000000
343;349,22:00 - 00:00,Blue,0,100,104,28,0.000000,0.000000
1136;1151,22:00 - 00:00,Blue,0,63,49,23,0.000000,0.000000
342;350,22:00 - 00:00,Blue,0,162,134,27,0.000000,0.000000
1141;1147,22:00 - 00:00,Blue,0,61,46,7,0.000000,0.000000
1132;1155;1156,22:00 - 00:00,Blue,0,55,56,24,0.000000,0.000000
1133;1154,22:00 - 00:00,Blue,0,51,57,24,0.000000,0.000000
1130;1159;1160,22:00 - 00:00,Blue,0,149,91,1,0.000000,0.000000
345;347,22:00 - 00:00,Blue,0,167,478,301,0.000000,0.000000
344;348,22:00 - 00:00,Blue,0,117,172,87,0.000000,0.000000
1140;1148,22:00 - 00:00,Blue,0,103,94,35,0.000000,0.000000
1127;1161,22:00 - 00:00,Blue,0,85,49,0,0.000000,0.000000
1855,22:00 - 00:00,Blue,0,24,18,4,0.000000,0.000000
187;204,22:00 - 00:00,Green,8,67,56,18,0.106667,0.053691
661;674,22:00 - 00:00,Green,1,67,58,19,0.014706,0.006897
184;207,22:00 - 00:00,Green,3,97,61,4,0.030000,0.018182
657;678,22:00 - 00:00,Green,0,85,52,2,0.000000,0.000000
656;679,22:00 - 00:00,Green,11,117,55,7,0.085938,0.057895
1383;1461;1384,22:00 - 00:00,Green,27,208,192,55,0.114894,0.056017
665;670,22:00 - 00:00,Green,2,87,79,34,0.022472,0.009901
659;676;675,22:00 - 00:00,Green,0,109,94,16,0.000000,0.000000
664;671,22:00 - 00:00,Green,16,186,190,93,0.079208,0.032990
185;206,22:00 - 00:00,Green,6,89,62,14,0.063158,0.035088
662;673,22:00 - 00:00,Green,0,255,214,71,0.000000,0.000000
1385;1459,22:00 - 00:00,Green,0,241,159,36,0.000000,0.000000
658;677,22:00 - 00:00,Green,3,73,46,3,0.039474,0.024000
663;672,22:00 - 00:00,Green,5,174,108,55,0.027933,0.014620
183;209,22:00 - 00:00,Green,6,89,60,18,0.063158,0.034682
186;205,22:00 - 00:00,Green,2,61,39,4,0.031746,0.018868
188;203,22:00 - 00:00,Green,7,163,218,90,0.041176,0.014644
388;823,22:00 - 00:00,Green,15,371,275,66,0.038860,0.020633
1386;95,22:00 - 00:00,Green,8,248,180,35,0.031250,0.016985
