origin,time,corridor,onboardings,car_trips_0_800m,car_trips_0_1600m,car_trips_800_1600m,bus_ratio_near,bus_ratio_all,bus_ratio_near_projected,projected_ridership,ridership_increase
1125;1163;1162,15:00 - 18:00,Blue,81,232,123,17,0.258786,0.178808,0.330787,103.536337,22.536337
1134;1153,15:00 - 18:00,Blue,15,107,206,107,0.122951,0.034483,0.189240,23.087311,8.087311
21;28;1612,15:00 - 18:00,Blue,69,1235,1390,480,0.052914,0.021739,0.124019,161.721165,92.721165
1131;1158,15:00 - 18:00,Blue,5,316,355,101,0.015576,0.006435,0.088378,28.369330,23.369330
1135;1152,15:00 - 18:00,Blue,25,319,205,29,0.072674,0.043253,0.138639,47.691803,22.691803
584;604,15:00 - 18:00,Blue,47,322,533,292,0.127371,0.039363,0.192490,71.028683,24.028683
1139;1149,15:00 - 18:00,Blue,6,408,253,22,0.014493,0.008708,0.079403,32.872752,26.872752
1138;1150;1137,15:00 - 18:00,Blue,126,568,321,32,0.181556,0.120344,0.244805,169.894487,43.894487
1124;1164,15:00 - 18:00,Blue,50,536,1161,681,0.085324,0.020593,0.149364,87.527090,37.527090
343;349,15:00 - 18:00,Blue,145,398,377,73,0.267035,0.146022,0.337051,183.018942,38.018942
1136;1151,15:00 - 18:00,Blue,22,295,219,106,0.069401,0.034268,0.135069,42.816816,20.816816
342;350,15:00 - 18:00,Blue,177,648,429,84,0.214545,0.132287,0.284792,234.953585,57.953585
1141;1147,15:00 - 18:00,Blue,25,309,226,31,0.074850,0.042301,0.139397,46.558625,21.558625
1132;1155;1156,15:00 - 18:00,Blue,121,342,255,84,0.261339,0.150873,0.334554,154.898421,33.898421
1133;1154,15:00 - 18:00,Blue,13,251,238,85,0.049242,0.022147,0.115778,30.565479,17.565479
1130;1159;1160,15:00 - 18:00,Blue,82,628,362,4,0.115493,0.076208,0.188731,133.998876,51.998876
345;347,15:00 - 18:00,Blue,1,591,1437,803,0.001689,0.000353,0.075169,44.500198,43.500198
344;348,15:00 - 18:00,Blue,146,427,655,326,0.254799,0.093951,0.324220,185.778118,39.778118
1140;1148,15:00 - 18:00,Blue,19,333,344,103,0.053977,0.023780,0.118655,41.766425,22.766425
1127;1161,15:00 - 18:00,Blue,11,551,308,10,0.019573,0.012500,0.093979,52.816416,41.816416
1855,15:00 - 18:00,Blue,404,263,182,28,0.605697,0.460661,0.676071,450.939305,46.939305
187;204,15:00 - 18:00,Green,126,362,290,76,0.258197,0.147541,0.308473,150.534853,24.534853
661;674,15:00 - 18:00,Green,49,452,333,100,0.097804,0.052463,0.145455,72.873124,23.873124
184;207,15:00 - 18:00,Green,346,362,321,103,0.488701,0.305654,0.537810,380.769273,34.769273
657;678,15:00 - 18:00,Green,145,438,275,46,0.248714,0.160398,0.295172,172.085126,27.085126
656;679,15:00 - 18:00,Green,376,738,334,51,0.337522,0.250834,0.383539,427.262367,51.262367
1383;1461;1384,15:00 - 18:00,Green,313,806,707,215,0.279714,0.153356,0.336547,376.596130,63.596130
665;670,15:00 - 18:00,Green,51,324,342,116,0.136000,0.061224,0.191227,71.710150,20.710150
659;676;675,15:00 - 18:00,Green,21,609,418,123,0.033333,0.017933,0.080984,51.019765,30.019765
664;671,15:00 - 18:00,Green,293,723,828,317,0.288386,0.135585,0.343143,348.633290,55.633290
185;206,15:00 - 18:00,Green,215,422,270,73,0.337520,0.219388,0.386966,246.497629,31.497629
662;673,15:00 - 18:00,Green,13,1234,1234,322,0.010425,0.004638,0.063977,79.778780,66.778780
1385;1459,15:00 - 18:00,Green,77,1277,771,120,0.056869,0.034298,0.113324,153.440716,76.440716
658;677,15:00 - 18:00,Green,73,466,234,15,0.135436,0.092640,0.182223,98.217933,25.217933
663;672,15:00 - 18:00,Green,101,793,734,239,0.112975,0.054097,0.167706,149.928894,48.928894
183;209,15:00 - 18:00,Green,753,490,546,152,0.605792,0.387944,0.654275,813.264337,60.264337
186;205,15:00 - 18:00,Green,58,299,154,17,0.162465,0.109848,0.212419,75.833548,17.833548
188;203,15:00 - 18:00,Green,839,820,965,360,0.505726,0.281166,0.556435,923.125069,84.125069
388;823,15:00 - 18:00,Green,1753,2766,1759,287,0.387918,0.267022,0.429914,1942.782096,189.782096
1386;95,15:00 - 18:00,Green,103,1097,728,127,0.085833,0.050122,0.143232,171.878828,68.878828
415;448,18:00 - 22:00,Orange,320,547,577,145,0.369089,0.201385,0.422074,365.938080,45.938080
408;455,18:00 - 22:00,Orange,202,444,461,171,0.312693,0.158059,0.364564,235.508486,33.508486
412;451,18:00 - 22:00,Orange,137,494,731,419,0.217116,0.076923,0.268766,169.591492,32.591492
416;447,18:00 - 22:00,Orange,131,432,825,442,0.232682,0.071585,0.286411,161.249242,30.249242
410;452,18:00 - 22:00,Orange,387,555,728,384,0.410828,0.188413,0.461736,434.955410,47.955410
414;449,18:00 - 22:00,Orange,143,348,494,243,0.291242,0.116450,0.343839,168.825131,25.825131
407;456,18:00 - 22:00,Orange,48,298,518,264,0.138728,0.042553,0.191017,66.091772,18.091772
413;450,18:00 - 22:00,Orange,210,454,919,541,0.316265,0.098870,0.368258,244.523416,34.523416
419;444;420,18:00 - 22:00,Orange,576,1014,1162,454,0.362264,0.179663,0.416436,662.133504,86.133504
417;445,18:00 - 22:00,Orange,395,429,731,413,0.479369,0.200711,0.533563,439.655988,44.655988
405;457,18:00 - 22:00,Orange,626,1018,613,33,0.380779,0.273362,0.433198,712.176883,86.176883
404;459,18:00 - 22:00,Orange,40,1281,1993,726,0.030280,0.009901,0.089720,118.519638,78.519638
421;442,18:00 - 22:00,Orange,332,1653,1617,413,0.167254,0.082690,0.221590,439.856744,107.856744
196;24;1508,18:00 - 22:00,Orange,449,1153,900,200,0.280275,0.166173,0.343086,549.624492,100.624492
409;453,18:00 - 22:00,Orange,339,527,734,368,0.391455,0.172256,0.442964,383.606399,44.606399
1503,18:00 - 22:00,all,6704,1445,1011,171,0.822678,0.718465,0.906846,7389.891831,685.891831
1125;1163;1162,18:00 - 22:00,Blue,29,188,148,22,0.133641,0.074935,0.220433,47.833941,18.833941
1134;1153,18:00 - 22:00,Blue,5,103,217,106,0.046296,0.011601,0.202722,21.894012,16.894012
21;28;1612,18:00 - 22:00,Blue,33,1338,1598,532,0.024070,0.009426,0.180474,247.430251,214.430251
1131;1158,18:00 - 22:00,Blue,11,295,281,96,0.035948,0.016105,0.191698,58.659541,47.659541
1135;1152,18:00 - 22:00,Blue,5,325,209,34,0.015152,0.008726,0.171771,56.684493,51.684493
584;604,18:00 - 22:00,Blue,11,378,515,237,0.028278,0.009641,0.185419,72.127862,61.127862
1139;1149,18:00 - 22:00,Blue,4,476,239,33,0.008333,0.005319,0.165567,79.471955,75.471955
1138;1150;1137,18:00 - 22:00,Blue,67,622,364,29,0.097242,0.061922,0.251144,173.038186,106.038186
1124;1164,18:00 - 22:00,Blue,14,456,832,438,0.029787,0.008046,0.123493,58.041819,44.041819
343;349,18:00 - 22:00,Blue,39,443,356,86,0.080913,0.042208,0.239031,115.212942,76.212942
1136;1151,18:00 - 22:00,Blue,1,294,257,83,0.003390,0.001575,0.160163,47.247997,46.247997
342;350,18:00 - 22:00,Blue,101,786,541,96,0.113867,0.066273,0.271615,240.922088,139.922088
1141;1147,18:00 - 22:00,Blue,5,293,212,34,0.016779,0.009191,0.174277,51.934654,46.934654
1132;1155;1156,18:00 - 22:00,Blue,27,386,318,87,0.065375,0.033007,0.224166,92.580490,65.580490
1133;1154,18:00 - 22:00,Blue,2,193,245,100,0.010256,0.003704,0.166572,32.481527,30.481527
1130;1159;1160,18:00 - 22:00,Blue,45,765,375,2,0.055556,0.037911,0.184722,149.625046,104.625046
345;347,18:00 - 22:00,Blue,0,592,1671,957,0.000000,0.000000,0.158923,94.082166,94.082166
344;348,18:00 - 22:00,Blue,46,431,614,297,0.096436,0.033141,0.254909,121.591480,75.591480
1140;1148,18:00 - 22:00,Blue,5,373,354,86,0.013228,0.006112,0.170626,64.496574,59.496574
1127;1161,18:00 - 22:00,Blue,2,546,277,8,0.003650,0.002401,0.136294,74.689263,72.689263
1855,18:00 - 22:00,Blue,195,270,170,43,0.419355,0.287611,0.565701,263.050821,68.050821
187;204,18:00 - 22:00,Green,45,242,214,64,0.156794,0.079646,0.198938,57.095073,12.095073
661;674,18:00 - 22:00,Green,28,282,273,98,0.090323,0.041116,0.136789,42.404530,14.404530
184;207,18:00 - 22:00,Green,114,344,240,67,0.248908,0.149020,0.293211,134.290798,20.290798
657;678,18:00 - 22:00,Green,79,387,255,38,0.169528,0.104084,0.219137,102.117753,23.117753
656;679,18:00 - 22:00,Green,196,693,349,34,0.220472,0.154088,0.286409,254.617724,58.617724
1383;1461;1384,18:00 - 22:00,Green,94,643,630,213,0.127544,0.059494,0.165979,122.326336,28.326336
665;670,18:00 - 22:00,Green,14,222,275,130,0.059322,0.021841,0.098887,23.337260,9.337260
659;676;675,18:00 - 22:00,Green,17,551,389,88,0.029930,0.016268,0.074880,42.532032,25.532032
664;671,18:00 - 22:00,Green,105,682,926,370,0.133418,0.050408,0.173475,136.524943,31.524943
185;206,18:00 - 22:00,Green,109,352,197,46,0.236443,0.154830,0.280076,129.115226,20.115226
662;673,18:00 - 22:00,Green,10,941,924,311,0.010515,0.004575,0.050154,47.696534,37.696534
1385;1459,18:00 - 22:00,Green,23,895,591,127,0.025054,0.014059,0.067278,61.760858,38.760858
658;677,18:00 - 22:00,Green,45,286,159,12,0.135952,0.089641,0.185084,61.262832,16.262832
663;672,18:00 - 22:00,Green,27,530,573,266,0.048474,0.019341,0.087572,48.777537,21.777537
183;209,18:00 - 22:00,Green,160,272,293,96,0.370370,0.194884,0.416003,179.713102,19.713102
186;205,18:00 - 22:00,Green,20,246,110,10,0.075188,0.051813,0.117877,31.355187,11.355187
188;203,18:00 - 22:00,Green,296,511,791,322,0.366791,0.154167,0.408201,329.417909,33.417909
388;823,18:00 - 22:00,Green,865,2715,1785,253,0.241620,0.153969,0.308310,1103.748914,238.748914
1386;95,18:00 - 22:00,Green,29,782,627,130,0.035758,0.018495,0.077226,62.630412,33.630412
1503,22:00 - 00:00,all,388,417,335,57,0.481988,0.324144,0.481988,388.000340,0.000340
187;204,22:00 - 00:00,Green,8,67,56,18,0.106667,0.053691,0.106667,8.000025,0.000025
661;674,22:00 - 00:00,Green,1,67,58,19,0.014706,0.006897,0.014706,1.000008,0.000008
184;207,22:00 - 00:00,Green,3,97,61,4,0.030000,0.018182,0.030000,3.000000,0.000000
657;678,22:00 - 00:00,Green,0,85,52,2,0.000000,0.000000,0.000000,0.000000,0.000000
1383;1461;1384,22:00 - 00:00,Green,27,208,192,55,0.114894,0.056017,0.114894,27.000090,0.000090
665;670,22:00 - 00:00,Green,2,87,79,34,0.022472,0.009901,0.022472,2.000008,0.000008
659;676;675,22:00 - 00:00,Green,0,109,94,16,0.000000,0.000000,0.000000,0.000000,0.000000
664;671,22:00 - 00:00,Green,16,186,190,93,0.079208,0.032990,0.079208,16.000016,0.000016
185;206,22:00 - 00:00,Green,6,89,62,14,0.063158,0.035088,0.063158,6.000010,0.000010
662;673,22:00 - 00:00,Green,0,255,214,71,0.000000,0.000000,0.000000,0.000000,0.000000
1385;1459,22:00 - 00:00,Green,0,241,159,36,0.000000,0.000000,0.000000,0.000000,0.000000
658;677,22:00 - 00:00,Green,3,73,46,3,0.039474,0.024000,0.039474,3.000024,0.000024
663;672,22:00 - 00:00,Green,5,174,108,55,0.027933,0.014620,0.027933,5.000007,0.000007
183;209,22:00 - 00:00,Green,6,89,60,18,0.063158,0.034682,0.063158,6.000010,0.000010
186;205,22:00 - 00:00,Green,2,61,39,4,0.031746,0.018868,0.031746,1.999998,-0.000002
188;203,22:00 - 00:00,Green,7,163,218,90,0.041176,0.014644,0.041176,6.999920,-0.000080
1386;95,22:00 - 00:00,Green,8,248,180,35,0.031250,0.016985,0.031250,8.000000,0.000000
